home_team,home_goals_sum,away_team,away_goals_sum
Sunderland,2.805445334210094,Wigan,2.741865942949246
West Brom,2.7091087080899907,Tottenham,6.436451745498667
Liverpool,2.1577222320326577,Man City,6.749846031456585
Swansea,1.9559044935210248,Aston Villa,1.2583943229757246
Aston Villa,2.9184282289464067,Man United,2.84287467412434
Blackburn,4.959007642485757,Swansea,3.094224325727927
Man City,9.531824779062324,Norwich,2.9834833940616976
Newcastle,2.5973769278512044,Chelsea,5.021686740939193
QPR,2.939406203981752,West Brom,2.3138912696315073
Tottenham,6.386386094806802,Bolton,1.9250338534247198
Wigan,2.3920144881386043,Arsenal,7.845764532388544
Everton,1.7832371663829025,Stoke,1.4997515081632051
Wolves,4.878055158364942,Sunderland,2.1440113940957914
Fulham,3.665946626871779,Liverpool,2.4946546588007386
Arsenal,3.946272094385036,Everton,2.4354535926464753
Bolton,3.1172122545623604,Aston Villa,2.763254738893099
Liverpool,2.3087246888713837,QPR,2.2097515226694053
Man United,6.203354520587295,Wolves,1.733489366788408
Norwich,6.8507044714219525,Newcastle,4.026753529848808
Swansea,3.186316042790211,Fulham,1.102578048377357
West Brom,2.643157491951062,Wigan,3.663025759220608
Stoke,5.181023655094203,Tottenham,4.903905323405837
Sunderland,3.7015886093461776,Blackburn,3.676964197322944
Chelsea,5.800963716908294,Man City,5.093988566418063
Blackburn,4.0077901769168776,West Brom,3.4034459982729013
Everton,2.081588014950309,Norwich,2.809574151241928
Fulham,4.223509026067843,Bolton,1.1675920530868482
Newcastle,1.575388741571964,Swansea,1.8767419215826378
Wigan,2.450830125532885,Chelsea,4.045806971852033
Wolves,3.9586900133177028,Stoke,2.9096452716512458
Aston Villa,1.7701161990268364,Liverpool,3.5130845359576064
Man City,6.781343971509898,Arsenal,4.758696737779604
QPR,1.7828399840644595,Man United,3.7242906515769736
Tottenham,4.873538971262759,Sunderland,1.3004086452923234
Blackburn,3.4308476199952054,Bolton,2.708180378233994
Wolves,4.4010668653754,Norwich,3.7040928634643286
Aston Villa,2.0736297459637663,Arsenal,4.88629547173782
Everton,2.262546951957722,Swansea,1.1383015158078726
Fulham,2.5616877158831906,Man United,7.258896465862575
Man City,7.113093032778188,Stoke,1.7647890661443746
Newcastle,2.9555215727294986,West Brom,5.064294346628785
QPR,3.0813471116966777,Sunderland,3.7887377135251645
Wigan,1.4865036128830569,Liverpool,2.1307934812206177
Tottenham,3.95595080737523,Chelsea,3.4539059717073854
Bolton,1.890684805224014,Newcastle,4.442349474959373
Chelsea,4.5184623501854375,Fulham,1.668747391066986
Liverpool,2.4003123086360048,Blackburn,3.230191520342019
Man United,8.76252470980316,Wigan,2.221737430284445
Stoke,3.142449695511046,Aston Villa,1.675998719734892
Sunderland,3.2451269812115062,Everton,2.47717727424737
West Brom,1.6031560573174672,Man City,3.0896602457581595
Arsenal,3.3935350168129115,Wolves,2.0514144492430084
Norwich,4.155162302547844,Tottenham,4.974368930973638
Swansea,2.9325983714864945,QPR,2.340282048845671
Liverpool,4.45586300807335,Newcastle,3.6944211577211794
Arsenal,3.0582830325054577,QPR,1.419452814999998
Bolton,2.1467583022211727,Wolves,2.24424575924339
Chelsea,3.7405859501446694,Aston Villa,4.016544609158333
Man United,7.314739892985162,Blackburn,4.959210193831199
Norwich,3.520233332577409,Fulham,2.012146455997595
Stoke,3.9059920869320788,Wigan,3.3475518692986754
Swansea,2.778710824929898,Tottenham,4.017107269357467
Sunderland,2.9682690087654815,Man City,1.8739736671475935
West Brom,0.9723633010670678,Everton,2.5024839663744003
Aston Villa,1.2577200178191437,Swansea,2.6904147693348395
Blackburn,3.08091427032921,Stoke,3.07039867654219
Fulham,3.5537421402923806,Arsenal,3.963688016023993
QPR,2.8689314964610038,Norwich,4.246645888113877
Wolves,3.669381989295553,Chelsea,4.0948998676050845
Man City,7.314309009768291,Liverpool,1.29239157587612
Tottenham,3.399405452988023,West Brom,3.0716497910397167
Wigan,1.9016100169871737,Sunderland,6.297985584862552
Everton,2.372304095401725,Bolton,3.6425944314310734
Newcastle,4.792614449302542,Man United,4.402743262225331
Tottenham,4.0618436320315485,Everton,1.5178332510453525
